qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
anno1.g10110.t1	MF	0005230	extracellular ligand-gated monoatomic ion channel activity	10.0903760281	0.765932914497	1	10
anno1.g10110.t1	BP	0034220	monoatomic ion transmembrane transport	4.03257736212	0.596280160211	1	10
anno1.g10110.t1	CC	0016020	membrane	1.33709795179	0.472599045862	1	10
anno1.g11313.t1	MF	0008194	UDP-glycosyltransferase activity	7.77665677503	0.709614269759	1	5
anno1.g11313.t1	CC	0016020	membrane	0.778202918845	0.432789356568	1	3
anno1.g11313.t1	MF	0016758	hexosyltransferase activity	3.90476678011	0.591622209345	4	3
anno1.g12436.t1	CC	0005760	gamma DNA polymerase complex	14.4580896514	0.847587241573	1	1
anno1.g12436.t1	BP	0006264	mitochondrial DNA replication	12.537903135	0.818837251433	1	1
anno1.g12436.t1	MF	0008408	3'-5' exonuclease activity	7.93725869117	0.713774006112	1	1
anno1.g12436.t1	MF	0003887	DNA-directed DNA polymerase activity	7.90881009529	0.713040249781	2	1
anno1.g12436.t1	BP	0071897	DNA biosynthetic process	6.22793769571	0.66705874428	4	1
anno1.g12436.t1	MF	0003677	DNA binding	3.11421569472	0.560936480737	11	1
anno1.g12456.t1	BP	0050482	arachidonate secretion	10.5644421799	0.776643383318	1	7
anno1.g12456.t1	MF	0004623	A2-type glycerophospholipase activity	9.70752219268	0.757098141783	1	7
anno1.g12456.t1	MF	0005198	structural molecule activity	3.37702131986	0.571529300429	7	8
anno1.g12456.t1	BP	0006644	phospholipid metabolic process	5.30077704758	0.639000006768	14	7
anno1.g12705.t1	MF	0008270	zinc ion binding	4.21381142999	0.60276032096	1	1
anno1.g12727.t1	BP	0050482	arachidonate secretion	11.6217527479	0.799696846509	1	32
anno1.g12727.t1	MF	0004623	A2-type glycerophospholipase activity	10.6790704891	0.779196860143	1	32
anno1.g12727.t1	MF	0005198	structural molecule activity	3.37862172048	0.571592519336	7	33
anno1.g12727.t1	BP	0006644	phospholipid metabolic process	5.83128944903	0.655329874234	14	32
anno1.g12840.t1	CC	0042575	DNA polymerase complex	8.9375840413	0.738786905868	1	7
anno1.g12840.t1	MF	0003964	RNA-directed DNA polymerase activity	7.43409407029	0.700595570382	1	7
anno1.g12840.t1	BP	0006278	RNA-templated DNA biosynthetic process	7.10971107521	0.691861882146	1	7
anno1.g12840.t1	BP	0015074	DNA integration	6.92530023252	0.686807814385	2	7
anno1.g12840.t1	MF	0004519	endonuclease activity	5.726266676	0.652158068522	3	7
anno1.g12840.t1	BP	0006281	DNA repair	5.21792796888	0.636377228771	4	7
anno1.g12840.t1	MF	0008233	peptidase activity	4.06332191851	0.597389560013	7	6
anno1.g12840.t1	BP	0006508	proteolysis	3.99964429833	0.595087087742	9	6
anno1.g12840.t1	MF	0003676	nucleic acid binding	2.05592759744	0.51289510987	13	7
anno1.g12840.t1	MF	0008270	zinc ion binding	1.30423627004	0.470522994336	14	2
anno1.g12840.t2	CC	0042575	DNA polymerase complex	8.93664186472	0.738764025116	1	6
anno1.g12840.t2	MF	0003964	RNA-directed DNA polymerase activity	7.43331038766	0.700574702697	1	6
anno1.g12840.t2	BP	0006278	RNA-templated DNA biosynthetic process	7.10896158819	0.691841474815	1	6
anno1.g12840.t2	BP	0015074	DNA integration	6.9245701856	0.686787673454	2	6
anno1.g12840.t2	MF	0004519	endonuclease activity	5.72566302804	0.652139753982	3	6
anno1.g12840.t2	BP	0006281	DNA repair	5.21737790865	0.63635974604	4	6
anno1.g12840.t2	MF	0008233	peptidase activity	3.09348246738	0.560082095298	9	4
anno1.g12840.t2	BP	0006508	proteolysis	3.0450035121	0.558073106003	10	4
anno1.g12840.t2	MF	0003676	nucleic acid binding	2.05571086696	0.512884135891	13	6
anno1.g12884.t1	MF	0046983	protein dimerization activity	6.69015200736	0.680264564858	1	2
anno1.g12925.t1	MF	0003677	DNA binding	3.12707027597	0.561464771164	1	14
anno1.g12925.t1	CC	0005634	nucleus	2.87852418766	0.551049427824	1	14
anno1.g12925.t1	MF	0008270	zinc ion binding	1.20414540997	0.464033128521	3	4
anno1.g12934.t1	BP	0050482	arachidonate secretion	11.5753494804	0.798707647825	1	29
anno1.g12934.t1	MF	0004623	A2-type glycerophospholipase activity	10.6364311579	0.778248628506	1	29
anno1.g12934.t1	MF	0005198	structural molecule activity	3.37857202562	0.571590556519	7	30
anno1.g12934.t1	BP	0006644	phospholipid metabolic process	5.80800631007	0.654629177628	14	29
anno1.g12949.t1	BP	0015074	DNA integration	6.92240823223	0.686728022083	1	4
anno1.g12949.t1	MF	0003964	RNA-directed DNA polymerase activity	3.96132401263	0.593692651483	1	2
anno1.g12949.t1	CC	0042575	DNA polymerase complex	2.7466534392	0.545340404597	1	1
anno1.g12949.t1	BP	0006278	RNA-templated DNA biosynthetic process	3.78847361075	0.587317304273	3	2
anno1.g12949.t1	MF	0003676	nucleic acid binding	2.05506904358	0.512851634268	5	4
anno1.g12949.t1	BP	0006281	DNA repair	1.60354741673	0.48856857896	7	1
anno1.g12969.t1	MF	0004519	endonuclease activity	5.6928868326	0.651143878294	1	1
anno1.g12969.t1	MF	0046872	metal ion binding	2.3130846232	0.525532188855	4	1
anno1.g13002.t1	BP	0050482	arachidonate secretion	12.0340646629	0.808400969475	1	6
anno1.g13002.t1	MF	0004623	A2-type glycerophospholipase activity	11.0579382984	0.787540507272	1	6
anno1.g13002.t1	MF	0005198	structural molecule activity	3.37651755244	0.571509397546	7	6
anno1.g13002.t1	BP	0006644	phospholipid metabolic process	6.03816961346	0.661495419656	14	6
anno1.g13014.t1	MF	0003964	RNA-directed DNA polymerase activity	7.41943216662	0.700204974869	1	1
anno1.g13014.t1	BP	0006278	RNA-templated DNA biosynthetic process	7.09568893641	0.6914799034	1	1
anno1.g13014.t1	BP	0015074	DNA integration	6.91164179829	0.686430822045	2	1
anno1.g13014.t1	MF	0003676	nucleic acid binding	2.05187279101	0.512689701975	8	1
anno1.g13235.t1	BP	0046470	phosphatidylcholine metabolic process	11.0064833287	0.786415816927	1	13
anno1.g13235.t1	MF	0004622	phosphatidylcholine lysophospholipase A1 activity	10.7249809543	0.780215722619	1	13
anno1.g13235.t1	CC	0005783	endoplasmic reticulum	5.21357164161	0.63623874504	1	13
anno1.g13235.t1	BP	0016042	lipid catabolic process	6.53228444234	0.675807011776	4	13
anno1.g13235.t1	CC	0042175	nuclear outer membrane-endoplasmic reticulum membrane network	4.14902277945	0.600460060218	4	9
anno1.g13235.t1	CC	0031984	organelle subcompartment	3.96154473844	0.593700702737	5	9
anno1.g13235.t1	CC	0031090	organelle membrane	2.51966305505	0.535182443965	7	9
anno1.g13235.t1	BP	0007399	nervous system development	3.68579714303	0.583461203539	10	7
anno1.g13235.t2	MF	0004622	phosphatidylcholine lysophospholipase A1 activity	10.7246670139	0.780208762948	1	7
anno1.g13235.t2	BP	0046470	phosphatidylcholine metabolic process	9.72860810476	0.757589207	1	6
anno1.g13235.t2	CC	0005789	endoplasmic reticulum membrane	5.85400038115	0.656012004059	1	7
anno1.g13235.t2	BP	0016042	lipid catabolic process	6.53209323007	0.675801580235	2	7
anno1.g13235.t2	BP	0007399	nervous system development	5.83069689566	0.655312058947	5	6
anno1.g13256.t1	BP	0006509	membrane protein ectodomain proteolysis	9.80829296393	0.759440181741	1	3
anno1.g13256.t1	MF	0008237	metallopeptidase activity	6.457606714	0.673679648024	1	4
anno1.g1413.t1	BP	0050482	arachidonate secretion	12.0309105875	0.808334956246	1	4
anno1.g1413.t1	MF	0004623	A2-type glycerophospholipase activity	11.0550400615	0.78747722794	1	4
anno1.g1413.t1	MF	0005198	structural molecule activity	3.37563258206	0.57147443047	7	4
anno1.g1413.t1	BP	0006644	phospholipid metabolic process	6.0365870358	0.661448659338	14	4
