Orthogroup	1_Dpini_HiFi_PB_ONT_primary_purged_correct_scaffIII_tsebra	2_GCF_021155765.1_iyDipSimi1.1_protein	3_GCF_021155785.1_iyNeoFabr1.1_protein	4_GCF_021901455.1_iyNeoLeco1.1_protein	5_GCF_021155775.1_iyNeoPine1.1_protein	6_GCF_021901495.1_iyNeoVirg1.1_protein	7_GCF_917208135.1_iyAthRosa1.1_protein	8_GCF_000612105.2_Oabi_2.0_protein	9_GCF_000143395.1_Attacep1.0_protein	GCF_001465965.1_Pdom_r1.2_protein	GCF_003254395.2_Amel_HAv3.1_protein	Total
OG0000000	2	50	50	49	49	50	49	19	1	33	38	390
OG0000001	2	37	29	37	37	37	40	14	1	14	35	283
OG0000002	1	0	34	34	34	32	43	45	1	1	39	264
OG0000003	2	25	24	24	24	24	29	21	1	23	41	238
OG0000004	5	7	16	15	15	16	38	4	1	50	50	217
OG0000005	1	18	27	20	27	27	18	14	1	18	38	209
OG0000006	28	20	26	29	27	30	5	4	4	3	5	181
OG0000007	23	20	31	27	33	36	7	0	0	0	0	177
OG0000008	3	0	21	21	21	21	19	23	1	11	34	175
OG0000009	2	20	22	23	27	21	16	22	1	1	14	169
OG0000010	1	14	18	18	18	18	24	12	2	14	26	165
OG0000011	7	40	14	13	32	14	1	28	1	8	1	159
OG0000012	7	20	20	20	20	20	10	16	1	5	16	155
OG0000013	1	17	17	17	17	17	16	7	1	22	22	154
OG0000014	6	21	13	12	13	14	21	16	1	10	26	153
OG0000015	2	23	25	24	25	25	20	3	1	3	0	151
OG0000016	17	16	16	20	27	19	9	2	3	18	2	149
OG0000017	3	16	14	16	14	14	19	24	1	13	14	148
OG0000018	12	8	23	24	17	31	15	2	10	3	2	147
OG0000019	7	6	22	33	35	35	1	2	1	3	0	145
OG0000020	3	12	13	11	11	13	19	16	1	18	27	144
OG0000021	0	1	15	43	68	12	1	0	4	0	0	144
OG0000022	3	14	18	18	18	18	19	5	1	1	28	143
OG0000023	6	18	8	8	8	8	31	6	1	13	34	141
OG0000024	9	15	17	17	17	17	21	3	1	14	8	139
OG0000025	4	4	24	21	23	23	25	11	1	0	3	139
OG0000026	20	12	23	19	23	24	12	1	1	1	3	139
OG0000027	1	19	19	19	19	19	16	5	1	6	14	138
OG0000028	2	9	21	14	14	19	19	1	1	20	18	138
OG0000029	4	14	24	21	25	24	3	12	1	4	5	137
OG0000030	4	8	17	15	16	1	23	4	2	8	35	133
OG0000031	2	13	16	17	16	17	11	1	1	15	22	131
OG0000032	1	0	3	44	31	47	2	0	1	1	1	131
OG0000033	0	0	25	36	43	25	2	0	0	0	0	131
OG0000034	3	1	30	30	29	29	4	1	1	1	0	129
OG0000035	12	11	14	36	37	8	5	2	2	0	0	127
OG0000036	2	15	15	16	15	15	11	6	1	12	19	127
OG0000037	1	12	16	17	17	18	12	11	2	13	7	126
OG0000038	23	10	15	18	17	13	19	1	2	3	5	126
OG0000039	4	18	19	19	19	19	19	2	1	1	4	125
OG0000040	1	16	17	17	17	17	14	12	1	12	1	125
OG0000041	1	9	15	16	16	16	15	10	1	5	19	123
OG0000042	1	1	7	7	7	7	31	1	2	26	33	123
OG0000043	1	17	21	21	13	25	5	7	1	4	7	122
OG0000044	2	15	15	15	15	15	16	3	2	11	13	122
OG0000045	11	8	19	25	23	20	8	2	3	1	1	121
OG0000046	1	13	16	16	16	16	12	1	1	12	17	121
OG0000047	3	15	16	15	16	16	12	1	1	16	10	121
OG0000048	3	10	14	15	15	15	12	5	1	14	15	119
OG0000049	4	9	16	17	17	16	12	1	4	15	8	119
OG0000050	5	15	16	16	16	16	11	5	1	9	9	119
OG0000051	9	5	17	29	26	25	0	1	1	1	3	117
OG0000052	1	15	12	13	12	12	23	1	1	15	11	116
OG0000053	4	14	15	15	15	15	1	12	1	11	12	115
OG0000054	1	0	16	16	16	16	15	11	1	7	16	115
OG0000055	1	2	15	15	15	12	15	1	1	18	19	114
OG0000056	1	12	12	12	14	5	13	14	1	14	15	113
OG0000057	3	8	14	16	16	14	17	9	1	3	12	113
OG0000058	15	16	15	16	16	15	6	6	1	4	3	113
OG0000059	1	12	16	18	18	14	16	3	1	4	10	113
OG0000060	23	14	17	16	19	13	2	3	4	0	1	112
OG0000061	1	11	12	13	13	13	13	3	1	10	20	110
OG0000062	1	13	14	16	15	14	19	8	1	7	1	109
OG0000063	1	11	9	8	9	9	21	9	1	8	23	109
OG0000064	2	15	16	17	18	16	11	4	3	1	6	109
OG0000065	2	6	7	8	8	7	9	17	1	14	29	108
OG0000066	3	8	11	11	12	11	13	7	1	14	16	107
OG0000067	1	6	18	19	17	16	9	2	1	10	8	107
OG0000068	5	10	8	8	8	8	11	11	1	21	16	107
OG0000069	2	11	10	10	10	10	17	14	1	10	12	107
OG0000070	2	1	13	17	20	21	9	6	2	1	14	106
OG0000071	2	23	23	23	23	8	0	3	0	0	0	105
OG0000072	79	10	4	0	2	3	3	4	0	0	0	105
OG0000073	24	7	7	13	15	9	23	6	1	0	0	105
OG0000074	6	9	18	22	22	18	3	2	2	1	2	105
OG0000075	1	8	18	20	20	19	2	6	1	6	3	104
OG0000076	1	13	12	10	10	10	4	14	1	13	16	104
OG0000077	0	2	13	13	13	14	13	1	1	14	20	104
OG0000078	1	13	15	15	15	15	5	5	1	12	6	103
OG0000079	6	2	15	15	14	15	11	5	2	9	8	102
OG0000080	1	7	14	14	14	14	11	10	1	8	7	101
OG0000081	62	16	2	4	3	3	2	3	6	0	0	101
OG0000082	5	0	28	31	17	16	3	0	0	0	0	100
OG0000083	1	9	13	13	13	13	12	1	1	12	12	100
OG0000084	2	11	14	13	13	13	8	7	1	10	8	100
OG0000085	2	8	12	13	13	13	11	6	1	14	7	100
