Chr	Start	End	fill	species	size	color
NC_060105.1	1	18130230	95FF7D	Dsimilis	14	6c72f0
NC_060106.1	1	22783663	95FF7D	Dsimilis	14	6c72f0
NC_060107.1	1	19013855	95FF7D	Dsimilis	14	6c72f0
NC_060108.1	1	27936105	95FF7D	Dsimilis	14	6c72f0
NC_060109.1	1	10882974	95FF7D	Dsimilis	14	6c72f0
NC_060110.1	1	25438219	95FF7D	Dsimilis	14	6c72f0
NC_060111.1	1	11122181	95FF7D	Dsimilis	14	6c72f0
NC_060112.1	1	28020057	95FF7D	Dsimilis	14	6c72f0
NC_060113.1	1	14403014	95FF7D	Dsimilis	14	6c72f0
NC_060114.1	1	22560868	95FF7D	Dsimilis	14	6c72f0
NC_060115.1	1	16102462	95FF7D	Dsimilis	14	6c72f0
NC_060116.1	1	17816656	95FF7D	Dsimilis	14	6c72f0
NC_060117.1	1	16048524	95FF7D	Dsimilis	14	6c72f0
NC_060118.1	1	14306973	95FF7D	Dsimilis	14	6c72f0
